unit,wstatus,isco08,geo,time,value
Per hundred thousand inhabitants,Practising,Medical doctors,Albania,2017,
Per hundred thousand inhabitants,Practising,Medical doctors,Austria,2017,518.28
Per hundred thousand inhabitants,Practising,Medical doctors,Belgium,2017,308.29
Per hundred thousand inhabitants,Practising,Medical doctors,Bulgaria,2017,424.49
Per hundred thousand inhabitants,Practising,Medical doctors,Switzerland,2017,429.78
Per hundred thousand inhabitants,Practising,Medical doctors,Cyprus,2017,386.84
Per hundred thousand inhabitants,Practising,Medical doctors,Czechia,2017,
Per hundred thousand inhabitants,Practising,Medical doctors,Germany (until 1990 former territory of the FRG),2017,424.88
Per hundred thousand inhabitants,Practising,Medical doctors,Denmark,2017,
Per hundred thousand inhabitants,Practising,Medical doctors,Estonia,2017,346.82
Per hundred thousand inhabitants,Practising,Medical doctors,Spain,2017,387.68
Per hundred thousand inhabitants,Practising,Medical doctors,Finland,2017,
Per hundred thousand inhabitants,Practising,Medical doctors,France,2017,315.8
Per hundred thousand inhabitants,Practising,Medical doctors,Croatia,2017,336.21
Per hundred thousand inhabitants,Practising,Medical doctors,Hungary,2017,332.48
Per hundred thousand inhabitants,Practising,Medical doctors,Ireland,2017,306.57
Per hundred thousand inhabitants,Practising,Medical doctors,Iceland,2017,387.3
Per hundred thousand inhabitants,Practising,Medical doctors,Italy,2017,398.95
Per hundred thousand inhabitants,Practising,Medical doctors,Liechtenstein,2017,363.52
Per hundred thousand inhabitants,Practising,Medical doctors,Lithuania,2017,455.63
Per hundred thousand inhabitants,Practising,Medical doctors,Luxembourg,2017,298.49
Per hundred thousand inhabitants,Practising,Medical doctors,Latvia,2017,320.5
Per hundred thousand inhabitants,Practising,Medical doctors,Montenegro,2017,265.11
Per hundred thousand inhabitants,Practising,Medical doctors,Malta,2017,396.37
Per hundred thousand inhabitants,Practising,Medical doctors,Netherlands,2017,358.22
Per hundred thousand inhabitants,Practising,Medical doctors,Norway,2017,465.85
Per hundred thousand inhabitants,Practising,Medical doctors,Poland,2017,237.75
Per hundred thousand inhabitants,Practising,Medical doctors,Romania,2017,292.68
Per hundred thousand inhabitants,Practising,Medical doctors,Serbia,2017,295.88
Per hundred thousand inhabitants,Practising,Medical doctors,Sweden,2017,
Per hundred thousand inhabitants,Practising,Medical doctors,Slovenia,2017,310.11
Per hundred thousand inhabitants,Practising,Medical doctors,United Kingdom,2017,281.1
