unit,incgrp,age,sex,geo,time,value
Percentage,Total,Total,Females,Austria,2019,
Percentage,Total,Total,Females,Belgium,2019,
Percentage,Total,Total,Females,Bulgaria,2019,46.9
Percentage,Total,Total,Females,Switzerland,2019,
Percentage,Total,Total,Females,Cyprus,2019,
Percentage,Total,Total,Females,Czechia,2019,
Percentage,Total,Total,Females,Germany (until 1990 former territory of the FRG),2019,
Percentage,Total,Total,Females,Denmark,2019,9.7
Percentage,Total,Total,Females,Euro area - 18 countries (2014),2019,
Percentage,Total,Total,Females,Euro area - 19 countries  (from 2015),2019,
Percentage,Total,Total,Females,Estonia,2019,
Percentage,Total,Total,Females,Greece,2019,
Percentage,Total,Total,Females,Spain,2019,
Percentage,Total,Total,Females,European Union - 27 countries (2007-2013),2019,
Percentage,Total,Total,Females,European Union - 27 countries (from 2020),2019,
Percentage,Total,Total,Females,European Union - 28 countries (2013-2020),2019,
Percentage,Total,Total,Females,Finland,2019,5.9
Percentage,Total,Total,Females,France,2019,
Percentage,Total,Total,Females,Croatia,2019,
Percentage,Total,Total,Females,Hungary,2019,
Percentage,Total,Total,Females,Ireland,2019,
Percentage,Total,Total,Females,Iceland,2019,
Percentage,Total,Total,Females,Italy,2019,
Percentage,Total,Total,Females,Lithuania,2019,
Percentage,Total,Total,Females,Luxembourg,2019,
Percentage,Total,Total,Females,Latvia,2019,47.0
Percentage,Total,Total,Females,Montenegro,2019,
Percentage,Total,Total,Females,North Macedonia,2019,
Percentage,Total,Total,Females,Malta,2019,
Percentage,Total,Total,Females,Netherlands,2019,
Percentage,Total,Total,Females,Norway,2019,
Percentage,Total,Total,Females,Poland,2019,39.1
Percentage,Total,Total,Females,Portugal,2019,
Percentage,Total,Total,Females,Romania,2019,
Percentage,Total,Total,Females,Serbia,2019,
Percentage,Total,Total,Females,Sweden,2019,
Percentage,Total,Total,Females,Slovenia,2019,
Percentage,Total,Total,Females,Slovakia,2019,
Percentage,Total,Total,Females,Turkey,2019,
Percentage,Total,Total,Females,United Kingdom,2019,
Percentage,Total,Total,Males,Austria,2019,
Percentage,Total,Total,Males,Belgium,2019,
Percentage,Total,Total,Males,Bulgaria,2019,45.0
Percentage,Total,Total,Males,Switzerland,2019,
Percentage,Total,Total,Males,Cyprus,2019,
Percentage,Total,Total,Males,Czechia,2019,
Percentage,Total,Total,Males,Germany (until 1990 former territory of the FRG),2019,
Percentage,Total,Total,Males,Denmark,2019,10.4
Percentage,Total,Total,Males,Euro area - 18 countries (2014),2019,
Percentage,Total,Total,Males,Euro area - 19 countries  (from 2015),2019,
Percentage,Total,Total,Males,Estonia,2019,
Percentage,Total,Total,Males,Greece,2019,
Percentage,Total,Total,Males,Spain,2019,
Percentage,Total,Total,Males,European Union - 27 countries (2007-2013),2019,
Percentage,Total,Total,Males,European Union - 27 countries (from 2020),2019,
Percentage,Total,Total,Males,European Union - 28 countries (2013-2020),2019,
Percentage,Total,Total,Males,Finland,2019,5.0
Percentage,Total,Total,Males,France,2019,
Percentage,Total,Total,Males,Croatia,2019,
Percentage,Total,Total,Males,Hungary,2019,
Percentage,Total,Total,Males,Ireland,2019,
Percentage,Total,Total,Males,Iceland,2019,
Percentage,Total,Total,Males,Italy,2019,
Percentage,Total,Total,Males,Lithuania,2019,
Percentage,Total,Total,Males,Luxembourg,2019,
