OBJECTID_1,LAN_ew_AGS,LAN_ew_GEN,LAN_ew_BEZ,LAN_ew_EWZ,OBJECTID,Fallzahl,Aktualisierung,AGS_TXT,GlobalID,faelle_100000_EW,Shape__Area,Shape__Length,Death
1,01,Schleswig-Holstein,Land,2889821,15,1827,2020-04-07T22:00:00.000Z,01,fc5ba936-c95c-432c-8a33-9eb2f30b660f,63.2219089002398,45737314116.8701,2881496.1295035,28
2,02,Hamburg,Freie und Hansestadt,1830584,6,3165,2020-04-07T22:00:00.000Z,02,0f3e860c-5181-4d3f-a421-1d51f50315ea,172.895644231568,2089396054.82129,418800.187474072,23
3,03,Niedersachsen,Land,7962775,9,6385,2020-04-07T22:00:00.000Z,03,3fd77024-c29b-4843-9be8-682ad48e60c9,80.1856136836718,129983613598.973,4008988.2951652,121
4,04,Bremen,Freie Hansestadt,681032,5,424,2020-04-07T22:00:00.000Z,04,4132268b-54de-4327-ac1e-760e915112f1,62.2584548156327,1119156745.43408,335717.737774516,10
5,05,Nordrhein-Westfalen,Land,17912134,10,20929,2020-04-07T22:00:00.000Z,05,561d658f-3ee5-46e3-bc95-3528c6558ab9,116.8425827989,87829361998.0295,2648672.50917441,348
6,06,Hessen,Land,6243262,7,4965,2020-04-07T22:00:00.000Z,06,93277ac4-e8fc-48c7-8940-028dc2ed66af,79.5257351045015,52359125900.6655,2148243.6201819,84
7,07,Rheinland-Pfalz,Land,4073679,11,4148,2020-04-07T22:00:00.000Z,07,e9b4296f-9be2-4e53-9a58-ccf1396cb03d,101.824419646222,47838767393.1633,1774430.12830596,45
8,08,Baden-Württemberg,Land,11023425,1,20680,2020-04-07T22:00:00.000Z,08,80394ddf-c6a4-4a6e-be8e-0259a81b22a9,187.600496216013,81517323536.8628,2544320.39805124,464
9,09,Bayern,Freistaat,12997204,2,27564,2020-04-07T22:00:00.000Z,09,1ff920f4-62cd-4a4f-b8c9-f042f2a3e00a,212.07638196646,163485540875.077,3898617.90542911,564
10,10,Saarland,Land,994187,12,1637,2020-04-07T22:00:00.000Z,10,e3396a6f-8a30-4fdf-8df7-def77dd38bea,164.65715202472,6060691818.01318,562678.876124348,23
11,11,Berlin,Land,3613495,3,4028,2020-04-07T22:00:00.000Z,11,c7033073-2bb0-486b-97af-5b3c639e7219,111.471027357171,2402458320.59863,363979.182407356,32
12,12,Brandenburg,Land,2504040,4,1472,2020-04-07T22:00:00.000Z,12,b560af89-5895-4be4-96f8-0f581cd8a858,58.7850034344499,79801970800.2686,2571385.42188057,22
13,13,Mecklenburg-Vorpommern,Land,1611119,8,555,2020-04-07T22:00:00.000Z,13,a27f5628-e790-45be-898d-f0a6841c0f7e,34.4481071851303,65873523064.0757,4131181.10875485,11
14,14,Sachsen,Freistaat,4081308,13,3144,2020-04-07T22:00:00.000Z,14,256d2405-a7c8-4fec-93df-29f3c808cd25,77.034127294485,46626497892.9951,2048279.98573376,50
15,15,Sachsen-Anhalt,Land,2223081,14,1020,2020-04-07T22:00:00.000Z,15,66106bbe-f04b-4f92-80e1-5b5b30da25b5,45.8822687972233,54177007537.6553,1920386.52842308,16
16,16,Thüringen,Freistaat,2151205,16,1285,2020-04-07T22:00:00.000Z,16,3a3e2817-bb19-4f8c-8bca-d8ff591140d4,59.7339630579141,40685205073.9761,2015719.49965031,20
