"TIME","REP_AIRP","TRA_INFR","Value","Flag and Footnotes"
"2008","BRUSSELS airport","Airport runways","3",""
"2008","BRUSSELS airport","Check-in facilities","120",""
"2008","BRUSSELS airport","Check-in facilities - conventional desks",":",""
"2008","BRUSSELS airport","Check-in facilities - self service kiosks",":",""
"2008","BRUSSELS airport","Passenger gates","98",""
"2008","CHARLEROI/BRUSSELS SOUTH airport","Airport runways",":",""
"2008","CHARLEROI/BRUSSELS SOUTH airport","Check-in facilities",":",""
"2008","CHARLEROI/BRUSSELS SOUTH airport","Check-in facilities - conventional desks",":",""
"2008","CHARLEROI/BRUSSELS SOUTH airport","Check-in facilities - self service kiosks",":",""
"2008","CHARLEROI/BRUSSELS SOUTH airport","Passenger gates",":",""
"2008","SOFIA airport","Airport runways","1",""
"2008","SOFIA airport","Check-in facilities","53",""
"2008","SOFIA airport","Check-in facilities - conventional desks","53",""
"2008","SOFIA airport","Check-in facilities - self service kiosks","0",""
"2008","SOFIA airport","Passenger gates","18",""
"2008","PRAHA/RUZYNE airport","Airport runways","2",""
"2008","PRAHA/RUZYNE airport","Check-in facilities","129",""
"2008","PRAHA/RUZYNE airport","Check-in facilities - conventional desks","122",""
"2008","PRAHA/RUZYNE airport","Check-in facilities - self service kiosks","7",""
"2008","PRAHA/RUZYNE airport","Passenger gates","53",""
"2008","BILLUND airport","Airport runways","1",""
"2008","BILLUND airport","Check-in facilities","19",""
"2008","BILLUND airport","Check-in facilities - conventional desks",":",""
"2008","BILLUND airport","Check-in facilities - self service kiosks",":",""
"2008","BILLUND airport","Passenger gates","13",""
"2008","KOBENHAVN/KASTRUP airport","Airport runways","3",""
"2008","KOBENHAVN/KASTRUP airport","Check-in facilities","80",""
"2008","KOBENHAVN/KASTRUP airport","Check-in facilities - conventional desks",":",""
"2008","KOBENHAVN/KASTRUP airport","Check-in facilities - self service kiosks",":",""
"2008","KOBENHAVN/KASTRUP airport","Passenger gates","90",""
"2008","BERLIN-SCHOENEFELD airport","Airport runways","1",""
"2008","BERLIN-SCHOENEFELD airport","Check-in facilities","52",""
"2008","BERLIN-SCHOENEFELD airport","Check-in facilities - conventional desks",":",""
"2008","BERLIN-SCHOENEFELD airport","Check-in facilities - self service kiosks",":",""
"2008","BERLIN-SCHOENEFELD airport","Passenger gates","13",""
"2008","DRESDEN airport","Airport runways","1",""
"2008","DRESDEN airport","Check-in facilities","24",""
"2008","DRESDEN airport","Check-in facilities - conventional desks",":",""
"2008","DRESDEN airport","Check-in facilities - self service kiosks",":",""
"2008","DRESDEN airport","Passenger gates","12",""
"2008","FRANKFURT/MAIN airport","Airport runways","3",""
"2008","FRANKFURT/MAIN airport","Check-in facilities","481",""
"2008","FRANKFURT/MAIN airport","Check-in facilities - conventional desks",":",""
"2008","FRANKFURT/MAIN airport","Check-in facilities - self service kiosks",":",""
"2008","FRANKFURT/MAIN airport","Passenger gates","147",""
"2008","MUENSTER/OSNABRUECK airport","Airport runways","1",""
"2008","MUENSTER/OSNABRUECK airport","Check-in facilities","38",""
"2008","MUENSTER/OSNABRUECK airport","Check-in facilities - conventional desks",":",""
"2008","MUENSTER/OSNABRUECK airport","Check-in facilities - self service kiosks",":",""
"2008","MUENSTER/OSNABRUECK airport","Passenger gates","18",""
"2008","HAMBURG airport","Airport runways","2",""
