projection,unit,sex,age,geo,time,value
Baseline projections,Person,Females,Total,Austria,2018,4483749
Baseline projections,Person,Females,Total,Austria,2019,4499341
Baseline projections,Person,Females,Total,Austria,2020,4521866
Baseline projections,Person,Females,Total,Austria,2021,4544577
Baseline projections,Person,Females,Total,Austria,2022,4567314
Baseline projections,Person,Females,Total,Austria,2023,4589954
Baseline projections,Person,Females,Total,Austria,2024,4612407
Baseline projections,Person,Females,Total,Austria,2025,4634664
Baseline projections,Person,Females,Total,Austria,2026,4656471
Baseline projections,Person,Females,Total,Austria,2027,4677903
Baseline projections,Person,Females,Total,Austria,2028,4698689
Baseline projections,Person,Females,Total,Austria,2029,4718853
Baseline projections,Person,Females,Total,Austria,2030,4738088
Baseline projections,Person,Females,Total,Austria,2031,4756333
Baseline projections,Person,Females,Total,Austria,2032,4773512
Baseline projections,Person,Females,Total,Austria,2033,4789983
Baseline projections,Person,Females,Total,Austria,2034,4805752
Baseline projections,Person,Females,Total,Austria,2035,4820576
Baseline projections,Person,Females,Total,Austria,2036,4834394
Baseline projections,Person,Females,Total,Austria,2037,4847507
Baseline projections,Person,Females,Total,Austria,2038,4859936
Baseline projections,Person,Females,Total,Austria,2039,4871750
Baseline projections,Person,Females,Total,Austria,2040,4883058
Baseline projections,Person,Females,Total,Austria,2041,4893882
Baseline projections,Person,Females,Total,Austria,2042,4904183
Baseline projections,Person,Females,Total,Austria,2043,4913916
Baseline projections,Person,Females,Total,Austria,2044,4923008
Baseline projections,Person,Females,Total,Austria,2045,4931385
Baseline projections,Person,Females,Total,Austria,2046,4939248
Baseline projections,Person,Females,Total,Austria,2047,4946548
Baseline projections,Person,Females,Total,Austria,2048,4953095
Baseline projections,Person,Females,Total,Austria,2049,4958619
Baseline projections,Person,Females,Total,Austria,2050,4963276
Baseline projections,Person,Females,Total,Austria,2051,4966921
Baseline projections,Person,Females,Total,Austria,2052,4969866
Baseline projections,Person,Females,Total,Austria,2053,4972080
Baseline projections,Person,Females,Total,Austria,2054,4973656
Baseline projections,Person,Females,Total,Austria,2055,4974639
Baseline projections,Person,Females,Total,Austria,2056,4974998
Baseline projections,Person,Females,Total,Austria,2057,4974907
Baseline projections,Person,Females,Total,Austria,2058,4974278
Baseline projections,Person,Females,Total,Austria,2059,4973264
Baseline projections,Person,Females,Total,Austria,2060,4971887
Baseline projections,Person,Females,Total,Austria,2061,4970241
Baseline projections,Person,Females,Total,Austria,2062,4968565
Baseline projections,Person,Females,Total,Austria,2063,4966742
Baseline projections,Person,Females,Total,Austria,2064,4964852
Baseline projections,Person,Females,Total,Austria,2065,4962973
Baseline projections,Person,Females,Total,Austria,2066,4961337
Baseline projections,Person,Females,Total,Austria,2067,4959887
Baseline projections,Person,Females,Total,Austria,2068,4958703
Baseline projections,Person,Females,Total,Austria,2069,4957673
Baseline projections,Person,Females,Total,Austria,2070,4956846
Baseline projections,Person,Females,Total,Austria,2071,4956115
Baseline projections,Person,Females,Total,Austria,2072,4955456
Baseline projections,Person,Females,Total,Austria,2073,4954704
Baseline projections,Person,Females,Total,Austria,2074,4953900
Baseline projections,Person,Females,Total,Austria,2075,4952942
Baseline projections,Person,Females,Total,Austria,2076,4951899
Baseline projections,Person,Females,Total,Austria,2077,4950575
Baseline projections,Person,Females,Total,Austria,2078,4949051
Baseline projections,Person,Females,Total,Austria,2079,4947267
Baseline projections,Person,Females,Total,Austria,2080,4945335
Baseline projections,Person,Females,Total,Austria,2081,4943219
Baseline projections,Person,Females,Total,Austria,2082,4941092
Baseline projections,Person,Females,Total,Austria,2083,4938703
Baseline projections,Person,Females,Total,Austria,2084,4936162
Baseline projections,Person,Females,Total,Austria,2085,4933668
Baseline projections,Person,Females,Total,Austria,2086,4931135
Baseline projections,Person,Females,Total,Austria,2087,4928568
Baseline projections,Person,Females,Total,Austria,2088,4926010
